"","z","type","suf","id","rep"
"12943",-2,2,0.248825086897533,64,5
"12944",-2,4,0.0984379784755183,64,5
"12945",-1,2,0.023169856949697,64,5
"12946",-43,1,7.68407278650651e-11,65,1
"12947",-42,1,1.29401407909887e-10,65,1
"12948",-41,1,2.31514488478147e-10,65,1
"12949",-40,1,2.76526609652652e-10,65,1
"12950",-39,1,4.47663282117009e-10,65,1
"12951",-38,1,7.13994686530795e-10,65,1
"12952",-37,1,1.16992814087524e-09,65,1
"12953",-36,1,1.28381453903464e-09,65,1
"12954",-35,1,2.61898453990495e-09,65,1
"12955",-34,1,4.10477196023093e-09,65,1
"12956",-33,1,8.96761691052531e-09,65,1
"12957",-32,1,1.1238388806121e-08,65,1
"12958",-31,1,1.23972694597828e-08,65,1
"12959",-30,1,3.19234822804956e-08,65,1
"12960",-29,1,4.48033174325266e-08,65,1
"12961",-28,1,5.00233108178887e-08,65,1
"12962",-27,1,1.07116815940647e-07,65,1
"12963",-27,4,0.00010106822551275,65,1
"12964",-26,1,1.76475732896494e-07,65,1
"12965",-26,4,0.000272809640574106,65,1
"12966",-25,1,2.45575187837972e-07,65,1
"12967",-25,4,0.000241727720720964,65,1
"12968",-24,1,5.65752228375806e-07,65,1
"12969",-24,4,0.000318120197655711,65,1
"12970",-23,1,4.99941130158285e-07,65,1
"12971",-23,4,0.0004193295649475,65,1
"12972",-22,1,1.08484161161679e-06,65,1
"12973",-22,4,0.000556462390841242,65,1
"12974",-21,1,1.68097273384595e-06,65,1
"12975",-21,4,0.000917102666137751,65,1
"12976",-20,1,3.66879799524761e-06,65,1
"12977",-20,4,0.00120247578439848,65,1
"12978",-19,1,3.91837369828639e-06,65,1
"12979",-19,4,0.00154253106377539,65,1
"12980",-18,1,5.73058234409064e-06,65,1
"12981",-18,4,0.00198189825631215,65,1
"12982",-17,1,1.38460458409974e-05,65,1
"12983",-17,4,0.00276519425834439,65,1
"12984",-16,1,1.40694426566538e-05,65,1
"12985",-16,4,0.00542688962499639,65,1
"12986",-15,1,2.90729985703538e-05,65,1
"12987",-15,4,0.00657184312801538,65,1
"12988",-14,1,3.53754176530615e-05,65,1
"12989",-14,4,0.00773608202811871,65,1
"12990",-13,1,6.14748547531501e-05,65,1
"12991",-13,4,0.00994624043769754,65,1
"12992",-12,1,7.59881223812122e-05,65,1
"12993",-12,4,0.0154078255548832,65,1
"12994",-11,1,0.000101639596587789,65,1
"12995",-11,2,0.000156254711241513,65,1
