"","Cc","age","sam"
"3843",3.27260510399494,6.1,44
"3844",3.36628443224647,6.2,44
"3845",3.57624739158623,6.3,44
"3846",3.72648114493219,6.4,44
"3847",4.01083835793034,6.5,44
"3848",4.15570920589661,6.6,44
"3849",4.31602681325649,6.7,44
"3850",4.60016444422217,6.8,44
"3851",4.69290523245359,6.9,44
"3852",5.05476053454806,7,44
"3853",5.37656113008584,7.1,44
"3854",5.70899485817824,7.2,44
"3855",6.07859014401098,7.3,44
"3856",6.39383517759776,7.4,44
"3857",6.69749630074219,7.5,44
"3858",6.92318548861922,7.6,44
"3859",7.2494674315702,7.7,44
"3860",7.58596805979257,7.8,44
"3861",8.03663380077328,7.9,44
"3862",8.40150393170869,8,44
"3863",8.63120026358274,8.1,44
"3864",9.14043015794021,8.2,44
"3865",9.59978718689605,8.3,44
"3866",9.94853943756965,8.4,44
"3867",10.3562958854684,8.5,44
"3868",10.7611103533281,8.6,44
"3869",11.1561871690424,8.7,44
"3870",11.6944361054967,8.8,44
"3871",12.0094362166327,8.9,44
"3872",0.0731944946507763,0.2,45
"3873",0.110632063614169,0.3,45
"3874",0.154892107342391,0.4,45
"3875",0.182578520785186,0.5,45
"3876",0.216295664259364,0.6,45
"3877",0.255709369221534,0.7,45
"3878",0.299187837532023,0.8,45
"3879",0.343783322362881,0.9,45
"3880",0.386078387444386,1,45
"3881",0.417005366734493,1.1,45
"3882",0.46838748601519,1.2,45
